Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000333168231091641,-0.0490077134325242,0.105556739128517,0,0,0,0.43756889593348,0.000780173945392212,1.72547696446317E-06,-8.11722846382893E-08,0.000825842165328829,4.67151417985947E-05,0.000643183765667985,0,0,0,0,0,0,package://flov2_robot_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/base_link.STL,,FLO PRIMARY HEAD-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-1;FLO-V2-TORSO-Assembly-1/NECK-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-1;FLO-V2-TORSO-Assembly-1/ROBOTIS_U2D2_Power_Hub_Board.stp-1;FLO-V2-TORSO-Assembly-1/Chassis-whole-v3-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-mirror-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-2;FLO-V2-BODYSHELL-Assembly-1,Coordinate System9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_up_joint,5.09595480396863E-10,7.24041410160581E-10,-0.0157092653420775,0,0,0,0.0208133468453592,6.27974968154285E-06,-1.32343047844373E-11,8.95773787765367E-14,1.11423800240112E-05,1.27944084467922E-13,8.2135527700594E-06,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_up_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_up_joint.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-1,Coordinate System1,Axis1,r1,revolute,0.093361,-0.051062,0.13081,1.5708,0,1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_up_arm,0.0373903260955437,6.01721482870188E-05,-0.00541151025560814,0,0,0,0.142004365290478,3.19807239576317E-05,-4.35320002639335E-08,2.24405433812147E-06,6.16421105939794E-05,9.8162953354545E-10,6.84742764155626E-05,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_up_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_up_arm.STL,,UP_arm-2,Coordinate System2,Axis2,r2,revolute,0,0,0,-1.5708,0,-1.5708,right_up_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
right_low_joint,5.09595032838206E-10,7.24041260974362E-10,-0.0157092653420775,0,0,0,0.0208133468453592,6.27974968154287E-06,-1.32343047943505E-11,8.95773982853656E-14,1.11423800240113E-05,1.27944096469429E-13,8.21355277005941E-06,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_low_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_low_joint.STL,,joint_torso_v2-1,Coordinate System3,Axis3,r3,revolute,0.117,0,-0.001,-1.5708,0,-1.5708,right_up_arm,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_low_arm,0.00014535,0.04812,0.00014102,0,0,0,0.18903,8.2107E-05,3.3864E-07,5.514E-07,7.698E-05,-3.2583E-09,0.00010333,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_low_arm.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_low_arm.STL,,LOW_arm-2;connect-2,Coordinate System4,Axis4,r4,revolute,0,0,0,0,-1.5708,0,right_low_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
right_gripper,0.0039403,0.00064863,-0.021633,0,0,0,0.1033,2.0963E-05,2.9075E-08,-3.1217E-07,1.8932E-05,1.7556E-08,2.3352E-05,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_gripper.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/right_gripper.STL,,gripper-2,Coordinate System10,Axis_r5,r5,fixed,-0.000250000000047877,0.151140016004298,-0.000500000000000056,1.5707963267949,0,-3.14159265358979,right_low_arm,0,0,0,,,,,,,,,,,,
left_up_joint,-5.09595435294052E-10,-7.24041521182883E-10,-0.0157092653420776,0,0,0,0.0208133468453592,6.27974968154287E-06,-1.32343047861331E-11,-8.95773956338105E-14,1.11423800240112E-05,-1.2794410246096E-13,8.21355277005941E-06,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_up_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_up_joint.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-2,Coordinate System5,Axis7,l1,revolute,-0.0936387883044479,-0.0510621773979172,0.130726931673384,-1.5707963267949,0,1.5707963267949,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_up_arm,0.0373903260955438,6.01721482865747E-05,-0.00541151025560831,0,0,0,0.142004365290478,3.19807239576316E-05,-4.35320002639623E-08,2.24405433812155E-06,6.16421105939794E-05,9.81629533561284E-10,6.84742764155625E-05,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_up_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_up_arm.STL,,UP_arm-1,Coordinate System6,Axis8,l2,revolute,0,0,0,1.5707963267949,0,1.57079632679489,left_up_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_low_joint,2.22044604925031E-16,-2.85966136187588E-10,-0.0157092656103693,0,0,0,0.0208133475595526,6.27974985366218E-06,-1.33778831812008E-11,1.17417841451904E-19,1.114238023727E-05,-4.94677559588482E-14,8.21355305611453E-06,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_low_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_low_joint.STL,,joint_torso_v2-2,Coordinate System7,Axis9,l3,revolute,0.117,0,-0.00100000000000006,-1.5707963267949,0,-1.5707963267949,left_up_arm,0,0,1,100,1,-3.14,3.14,,,,,,,,
left_low_arm,0.0481196273812194,-0.000145349329485027,0.000141021295786414,0,0,0,0.18903364369622,7.6979741225698E-05,-3.38641336425106E-07,-3.25828337644394E-09,8.21074310058178E-05,-5.51403520464896E-07,0.000103326261719523,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_low_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_low_arm.STL,,LOW_arm-1;connect-1,Coordinate System8,Axis10,l4,revolute,0,0,0,-1.5708,0,-1.5708,left_low_joint,0,0,-1,100,1,-3.14,3.14,,,,,,,,
left_gripper,0.00394028289479455,-0.0216328066989446,-0.000648626674702557,0,0,0,0.103299324219439,2.09630043696831E-05,-3.12167035365804E-07,-2.90752267814504E-08,2.33522908570638E-05,-1.75561004581666E-08,1.89319959235233E-05,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_gripper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flov2_robot_description/meshes/left_gripper.STL,,gripper-1,Coordinate System11,,l5,fixed,0.15114,0.00025,-0.0005,-3.1416,0,1.5708,left_low_arm,0,0,0,,,,,,,,,,,,
