Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.53347513647862E-05,-0.0517564322706769,0.103083105603625,0,0,0,0.411096920186486,0.000777346761704768,1.72546357053517E-06,3.18573945326137E-07,0.000809189457749476,4.70818433093878E-05,0.000628127608082685,0,0,0,0,0,0,package://flov2tag/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/base_link.STL,,FLO-V2-BODYSHELL-Assembly-1/BODY Copy 2 - FLO-CHEST-01_v5-1;FLO-V2-TORSO-Assembly-1/Chassis-whole-v3-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-1;FLO-V2-TORSO-Assembly-1/NECK-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-1;FLO-V2-TORSO-Assembly-1/ROBOTIS_U2D2_Power_Hub_Board.stp-1;FLO-V2-TORSO-Assembly-1/Motor-frame-v2-mirror-1;FLO-V2-TORSO-Assembly-1/XC-430_idle.stp-2,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,1.48905722474613E-09,-1.45844988863608E-09,-0.0155738461318574,0,0,0,0.0215352043212417,6.43260429128133E-06,-1.64918315675543E-11,1.80617855631626E-13,1.14424316265306E-05,-1.4977169211401E-13,8.50517912691032E-06,0,0,0,0,0,0,package://flov2tag/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/L1.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-2,l1,Axis_L_shoulder_1,l1,revolute,-0.093804,-0.050968,0.1305,-1.5732,-0.04937,1.5699,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L2,0.0370794722770472,6.01619796232744E-05,-0.00561150495180869,0,0,0,0.14200428130742,3.19807041640019E-05,-4.35443153481225E-08,2.24405152482658E-06,6.16420914340457E-05,9.75980531415953E-10,6.84742357959681E-05,0,0,0,0,0,0,package://flov2tag/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/L2.STL,,joint-motor-assembly-1/upperarm_shell1-1;joint-motor-assembly-1/upperarm_shell2-1;joint-motor-assembly-1/XC-430_idle.stp-3;joint-motor-assembly-1/XC-430_idle.stp-5,Coordinate System L_shoulder2,Axis_L_shoulder2,l2,revolute,0,0,0,1.57079632679491,-1.30823648462815,1.57079632679489,L1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L3,-6.85686452062129E-10,-1.18321497044604E-09,-0.0155738461320077,0,0,0,0.0215352058948494,6.43260450990738E-06,-1.66741513524277E-11,-1.99406870351107E-13,1.14424319738705E-05,-5.43220634835429E-14,8.50517954548888E-06,0,0,0,0,0,0,package://flov2tag/meshes/L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/L3.STL,,joint-motor-assembly-1/joint_torso_v2-1,l3,Axis_L_elbow_1,l3,revolute,0.1158,0,-0.00119999999999776,-1.5707963267949,0.26114885650053,-1.57079632679489,L2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L4,0.0540116223479984,-0.00058620478941096,-0.00011406572389161,0,0,0,0.123994710978818,2.55225739121218E-05,5.69764188850555E-06,1.26677524651344E-09,0.000227685871332109,7.44244239048614E-10,0.000244795391460618,0,0,0,0,0,0,package://flov2tag/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/L4.STL,,joint-motor-assembly-1/mirror_lowerarm_shell_new-1;joint-motor-assembly-1/lowerarm_shell_new-1;joint-motor-assembly-1/XC-430_idle.stp-2,l44,Axis_L_elbow_2,l4,revolute,0,0,0,1.5707963267949,-0.30296623022798,-1.5707963267949,L3,0,0,1,100,1,-3.14,3.14,,,,,,,,
LT,-2.1094237467878E-15,3.66373598126302E-15,-4.99999999999251E-05,0,0,0,4.4257186507448E-05,1.59291210005991E-09,4.71238898038435E-11,2.08733857698928E-24,1.565423164341E-09,3.43796942092352E-24,3.1582615024234E-09,0,0,0,0,0,0,package://flov2tag/meshes/LT.STL,1,1,1,1,0,0,0,0,0,0,package://flov2tag/meshes/LT.STL,,TAG-5,tl,l4,lt,revolute,0.16084,0,0,1.5708,0,1.5708,L4,0,0,-1,100,1,-3.14,3.14,,,,,,,,
R1,-7.3101036335288E-10,1.42214115483874E-09,-0.0155738461008337,0,0,0,0.0215352046092187,6.43260432556565E-06,-1.67886054370398E-11,2.25506499780031E-15,1.14424316815474E-05,1.67144531263641E-13,8.50517918879637E-06,0,0,0,0,0,0,package://flov2tag/meshes/R1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/R1.STL,,FLO-V2-TORSO-Assembly-1/joint_torso_v2-1,r1,Axis_R_shoulder_1,r1,revolute,0.09279510924547,-0.0511557438776884,0.131033556238334,1.56837759398057,-0.109836205757756,1.5700568280532,base_link,0,0,-1,100,1,-3.14,3.14,,,,,,,,
R2,0.0370794698343928,6.01703938903075E-05,-0.00521151070552417,0,0,0,0.142004353704167,3.19807296486965E-05,-4.35327533669279E-08,2.24405237078302E-06,6.16421075611623E-05,9.81607943199515E-10,6.84742805487049E-05,0,0,0,0,0,0,package://flov2tag/meshes/R2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/R2.STL,,joint-motor-assembly-2/upperarm_shell1-1;joint-motor-assembly-2/upperarm_shell2-1;joint-motor-assembly-2/XC-430_idle.stp-3;joint-motor-assembly-2/XC-430_idle.stp-5,Coordinate System Rshoulder2,Axis_R_shoulder2,r2,revolute,0,0,0,1.57079632679491,-1.47144508321867,1.57079632679488,R1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
R3,2.05074301984354E-09,5.46313924654207E-10,-0.0155738455006264,0,0,0,0.0215352048399659,6.432604168036E-06,-1.66648027588443E-11,6.81152760309558E-14,1.14424315919614E-05,-4.79486622218707E-14,8.5051789959427E-06,0,0,0,0,0,0,package://flov2tag/meshes/R3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/R3.STL,,joint-motor-assembly-2/joint_torso_v2-1,r3,Axis_R_elbow1,r3,revolute,0.115800000000001,0,-0.000800000000004408,1.5707963267949,-0.26114885650053,1.5707963267949,R2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
R4,0.0540120901541251,0.000585955138703967,0.000114212206980158,0,0,0,0.123994478571995,2.55222563136458E-05,-5.697433497379E-06,-1.15541189210634E-09,0.000227685021295983,5.41220980799628E-10,0.000244794757521387,0,0,0,0,0,0,package://flov2tag/meshes/R4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://flov2tag/meshes/R4.STL,,joint-motor-assembly-2/mirror_lowerarm_shell_new-1;joint-motor-assembly-2/lowerarm_shell_new-1;joint-motor-assembly-2/XC-430_idle.stp-2,r44,Axis_R_elbow2,r4,revolute,0,0,0,-1.5707963267949,-0.302966230227995,1.5707963267949,R3,0,0,1,100,1,-3.14,3.14,,,,,,,,
RT,-1.12505491034476E-14,-3.88578058618805E-16,-5.00000000000778E-05,0,0,0,4.4257186507449E-05,1.59291210005995E-09,-4.71238898038503E-11,8.7605212335328E-25,1.56542316434104E-09,5.84196307615576E-24,3.15826150242347E-09,0,0,0,0,0,0,package://flov2tag/meshes/RT.STL,1,1,1,1,0,0,0,0,0,0,package://flov2tag/meshes/RT.STL,,TAG-4,tr,a4,rt,revolute,0.16084,0,0,-1.5708,0,-1.5708,R4,0,0,-1,100,1,-3.14,3.14,,,,,,,,
